uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param2,Run1,Run2,Run3,,There should be another similar sheet on excel or google sheets. Find it  and seggregate it
g0dhamg1,CarnivalNoFrameskip-v4,,,SOM,,0.9,,,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_11_42_44,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_23_16_56,1.a_CarnivalNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_04_33_01,,
cdqlw750,CarnivalNoFrameskip-v4,,,,,,,,,,,,
vk7y4k02,,,,,,,,,,,,,
m1036vsn,AirRaidNoFrameskip-v4,,,E2E,,,,,1.a_AirRaidNoFrameskip-v4_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_20_19_53,1.a_AirRaidNoFrameskip-v4_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_05_35_34,??,,
hs32uhlq,AirRaidNoFrameskip-v4,,,,,,,,,,,,
or9z6z9n,AirRaidNoFrameskip-v4,,,Random,,,,,1.a_AirRaidNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_00_01_38,1.a_AirRaidNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_18_05_58,1.a_AirRaidNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_16_11_53,,
yw3pfutg,AirRaidNoFrameskip-v4,,,,,,,,,,,,
e7k2bk3e,AirRaidNoFrameskip-v4,,,,,,,,,,,,
z97wbsb9,AirRaidNoFrameskip-v4,,,,,,,,,,,,
hspl1f6x,AirRaidNoFrameskip-v4,SpaceDemo,,VEP,,,,,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_0.01_2_nsame_snnl_32_2_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4650_notemp/24_02_01_03_34_55,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_0.01_2_nsame_snnl_32_2_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4650_notemp/24_02_01_04_39_08,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_2.0_0.01_2_nsame_snnl_256_2_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4650_notemp/24_01_31_23_52_15,,
08m637cv,AirRaidNoFrameskip-v4,,,,,,,,,,,,
xngofn3f,AirRaidNoFrameskip-v4,,,,,,,,,,,,
xtw59mq5,AirRaidNoFrameskip-v4,,,,,,,,,,,,
7s25im1k,AirRaidNoFrameskip-v4,SpaceDemo,,TCN,,,,,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_TCN_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_-1.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_17_54_17,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_TCN_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_-1.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_20_18_58,1.a_AirRaidNoFrameskip-v4_singlegame_full_1CHAN_TCN_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_-1.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_22_42_51,,
3n78o162,AirRaidNoFrameskip-v4,,,,,,,,,,,,
sxmc9hw8,AirRaidNoFrameskip-v4,,,,,,,,,,,,
