uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param3,Batch size,nepoch,Run1,Run2,Run3,There should be another similar sheet on excel or google sheets. Find it  and seggregate it,
skchuo8j,Union_Square,,,,,,,,,,,,,,
2a4zx6dv,Union_Square,,,,,,,,,,,,,,
g8eeezlx,Union_Square,,,VIP,,,,,,,**,**,**,,
145jzuki,Union_Square,,,,,,,,,,,,,,
bbb66wrk,Union_Square,,,,,,,,,,,,,,
afqt2tli,Union_Square,,,SOM,,,,,,,**,**,**,,
0cklupdi,Union_Square,,,,,,,,,,,,,,
tgzkx4hk,,,,,,,,,,,,,,,
6atqx4la,,,,,,,,,,,,,,,
87m441fu,,,,,,,,,,,,,,,
f8sqowa0,,,,,,,,,,,,,,,
dzyv4kd5,,,,,,,,,,,,,,,
d2hh5szn,,,,,,,,,,,,,,,
6rlhqxx5,Wall_Street,,,E2E,,,,,,,1.a_Wall_Street_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_02_21_28_32,1.a_Wall_Street_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_02_22_19_45,1.a_Wall_Street_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_03_01_08_55,,
7caqcni7,Wall_Street,,,Random,,,,,,,1.a_Wall_Street_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_02_23_55_00,1.a_Wall_Street_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_03_06_24_07,,,
tmb1910k,Wall_Street,,,,,,,,,,,,,,
1p6ntugd,Wall_Street,UnionWall,,VEP,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_19_07_06,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_22_21_35,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_06_46_01,,
dhab5iuc,Wall_Street,UnionWall,,,,,,,,,,,,,
qzqmtf3y,Wall_Street,UnionWall,,TCN,,,,,32,,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_16_20_32_15,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_09_30_37,??,,
vqrqzju7,Wall_Street,UnionWall,,TCN,,,,,64,,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_64_0_0.0001_2.0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4650_notemp/24_02_01_00_58_46,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_64_0_0.0001_2.0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4650_notemp/24_02_01_00_58_51,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_64_0_0.0001_2.0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_4650_notemp/24_02_01_01_22_57,,
6n01hpsr,Wall_Street,UnionWall,,VIP,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_50.0_15.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_01_48_26,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_50.0_15.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_06_11_04,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_50.0_15.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_16_07_53_29,,
gfoa8jga,Wall_Street,UnionWall,,,,,,,,,,,,,
ncg0k0hg,Wall_Street,UnionWall,,SOM,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_18_02_48_42,1.a_Wall_Street_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_20_50_48,1.a_Wall_Street_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_14_49_26,,
rtdv7pjw,Wall_Street,UnionWall,,,,,,,,,,,,,
rviyt0c4,Wall_Street,,,,,,,,,,,,,,
obf58n62,Wall_Street,,,,,,,,,,,,,,
dvq9013o,Wall_Street,AllUnionWall,,VEP,,1,,,,,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_1.0_-1.0_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_19_20_30_19,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_1.0_-1.0_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_19_23_29_42,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_1.0_-1.0_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_20_02_27_58,,
x3axwjo8,Wall_Street,,,,,,,,,,,,,,
20jt6d2k,Wall_Street,,,TCN,,2,,,,,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_20_59_28,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_13_56_22,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_07_03_53,,
3mdy5rru,Wall_Street,,,,,,,,,,,,,,
